분류,평점검색_장소명,평점,리뷰개수
체험관광지,제주교래삼다수마을,4.4,11
체험관광지,제주다이나믹메이즈,4.1,1082
체험관광지,제주다희연,4.7,6
체험관광지,제주설록다원도순,3.9,41
체험관광지,제주동광리농촌체험마을,4.5,4
체험관광지,제주두맹이골목,3.7,150
체험관광지,제주마린파크,3.8,282
체험관광지,제주번개과학체험관,3.9,599
체험관광지,제주사진놀이터,4.3,9
체험관광지,제주가시리마을,3.7,11
체험관광지,제주알토산정보화마을,4.5,61
체험관광지,제주예래생태마을,4.1,18
체험관광지,제주용왕난드르,4.1,154
체험관광지,제주서프라이즈테마파크,4.5,202
체험관광지,제주성이시돌목장,3.8,150
체험관광지,제주낙천아홉굿마을,3.6,121
체험관광지,제주어멍아방잔치마을,4.4,11
체험관광지,제주이상한나라의앨리스,3,186
체험관광지,제주이중섭거리,3.9,2369
체험관광지,제주점보빌리지,3.8,743
체험관광지,제주동백마을,4.7,3
체험관광지,제주서광다원,4.3,16
체험관광지,제주청수마을,4,2
체험관광지,제주초콜릿랜드,3.2,295
체험관광지,제주도예촌,4.7,3
체험관광지,제주마방목지,4.1,517
체험관광지,제주탐나라공화국,4.3,70
체험관광지,제주허브동산,4.1,1444
체험관광지,제주무병장수테마파크,4.3,4
체험관광지,제주조랑말체험공원,4.3,489
체험관광지,제주제이엠그랑블루요트,4.8,11
체험관광지,제주혼인지마을,3.9,384
건축/조형물,제주새연교,4.3,1181
건축/조형물,제주선임교,4,25
건축/조형물,제주해녀항일운동기념탑,4.1,120
문화/예술/역사,제주관덕정,4.2,583
문화/예술/역사,제주관음사,4.4,540
문화/예술/역사,제주금룡사,4.5,2
문화/예술/역사,제주대정향교,3.8,67
문화/예술/역사,제주명월대,3.9,20
문화/예술/역사,제주모충사,4,2
문화/예술/역사,제주방사탑,3.9,10
문화/예술/역사,제주법화사,4.1,58
문화/예술/역사,제주별방진,4,39
문화/예술/역사,제주보림사,4,8
문화/예술/역사,제주불탑사,3.8,16
문화/예술/역사,제주산방굴사,4.2,1048
문화/예술/역사,제주산천단곰솔,4,55
문화/예술/역사,제주추사유배지,4.4,92
문화/예술/역사,제주성읍민속마을,3.7,2105
문화/예술/역사,제주약천사,4.3,1059
문화/예술/역사,제주양금석가옥,4.3,3
문화/예술/역사,제주연북정,3.7,120
문화/예술/역사,제주오현단,3.9,9
문화/예술/역사,제주월영사,3.3,3
문화/예술/역사,제주월정사,4,17
문화/예술/역사,제주이중섭거주지,4.1,18
문화/예술/역사,제주절부암,4,111
문화/예술/역사,제주정의향교,1,1
문화/예술/역사,제주삼성혈,4.1,766
문화/예술/역사,제주목관아,4.1,721
문화/예술/역사,제주민속촌,4.1,2482
문화/예술/역사,제주성지,3.8,9
문화/예술/역사,제주향교,4.1,26
문화/예술/역사,제주대한불교조계종천왕사,4.4,248
문화/예술/역사,제주평화통일불사리탑,3.8,4
박물관/전시관/미술관,제주김영갑갤러리두모악,4.4,917
박물관/전시관/미술관,제주왈종미술관,4.2,64
박물관/전시관/미술관,제주자연사랑미술관,4,49
박물관/전시관/미술관,제주놀라운트릭아이미술관,4.2,54
박물관/전시관/미술관,제주도립미술관,4.3,602
박물관/전시관/미술관,제주기당미술관,4.3,147
박물관/전시관/미술관,제주현대미술관,4.1,581
박물관/전시관/미술관,제주건강과성박물관,3.4,909
박물관/전시관/미술관,국립제주박물관,4.2,1220
박물관/전시관/미술관,제주그리스신화박물관,3.7,354
박물관/전시관/미술관,제주봉황솟대박물관,2.8,4
박물관/전시관/미술관,제주믿거나말거나박물관,3.6,1016
박물관/전시관/미술관,제주박물관은살아있다,4.2,2662
박물관/전시관/미술관,제주본태박물관,4.2,1172
박물관/전시관/미술관,제주세계조가비박물관,4.1,214
박물관/전시관/미술관,제주신영영화박물관,3.1,30
박물관/전시관/미술관,제주아프리카박물관,3.4,241
박물관/전시관/미술관,제주세계자연유산센터,4.3,950
박물관/전시관/미술관,제주교육박물관,4.4,81
박물관/전시관/미술관,제주민속자연사박물관,4.1,1590
박물관/전시관/미술관,제주돌문화공원,4.3,720
박물관/전시관/미술관,제주세계성문화박물관,2.9,57
박물관/전시관/미술관,제주유리박물관,3.2,102
박물관/전시관/미술관,제주조안베어뮤지엄,4.2,49
박물관/전시관/미술관,제주초콜릿박물관,3.2,695
박물관/전시관/미술관,제주테디베어뮤지엄,3.9,1594
박물관/전시관/미술관,피규어뮤지엄제주,4.4,1591
박물관/전시관/미술관,제주해녀박물관,4.2,1371
박물관/전시관/미술관,제주갓전시관,4.3,8
박물관/전시관/미술관,제주고흐의정원,4.3,73
박물관/전시관/미술관,제주방림원,4.1,224
박물관/전시관/미술관,제주서귀포천문과학문화관,4.3,175
박물관/전시관/미술관,제주서복전시관,3.8,33
박물관/전시관/미술관,제주추사관,4.4,555
박물관/전시관/미술관,제주국제평화센터,3.9,162
박물관/전시관/미술관,제주통일관,1,1
박물관/전시관/미술관,제주캐릭파크,3.8,158
박물관/전시관/미술관,제주트랜스포머오토봇얼라이언스,3.2,54
박물관/전시관/미술관,제주하멜상선전시관,3.5,32
박물관/전시관/미술관,제주한국야구명예의전당,3.5,36
박물관/전시관/미술관,제주헬로키티아일랜드,4,2298
산업,제주넥슨컴퓨터박물관,4.1,2552
산업,제주맥파이브루어리,4.4,171
산업,제주신화워터파크,4.4,48
산업,제주신화테마파크,3.8,883
산업,제주정석항공관,3.6,44
산업,제주플레이케이팝,4,6
자연,제주문섬,4.4,243
자연,제주새섬,4.2,76
자연,제주걸매생태공원,4.3,202
체험관광지,제주물드리네,4,5
체험관광지,제주샘주,4.1,24
체험관광지,제주한라산소주공장,4.1,36
문화/예술/역사,제주알뜨르비행장일제지하벙커,5,2
문화/예술/역사,제주항파두리항몽유적,3.9,793
박물관/전시관/미술관,제주더플래닛,5,2
박물관/전시관/미술관,제주돌마을공원수석박물관,3.6,137
산업,제주지속가능환경교육센터,4.5,2
문화/예술/역사,제주삼양동유적,3.7,131
체험관광지,제주명도암참살이마을,3.9,21
박물관/전시관/미술관,제주테디베어 사파리,3.9,385
박물관/전시관/미술관,제주평화박물관,3.9,229
자연,제주거린사슴,4.1,123
체험관광지,제주하도어촌체험마을,4.1,100
박물관/전시관/미술관,제주아쿠아플라넷,4.3,6953
체험관광지,제주선인장마을,4.4,20
자연,제주범섬,4.6,21
자연,제주별도봉,4.7,29
문화/예술/역사,제주백제사,4.8,5
자연,제주섶섬,5,6
산업,제주맥주양조장,4.4,162
자연,제주거슨세미오름,4,2
자연,제주가마오름,,
자연,제주가메창,,
자연,제주갈마못,,
자연,제주개오름,,
자연,제주개오리오름,,
자연,제주갯거리오름,,
자연,제주구시물,,
자연,제주다려도,,
자연,제주둔지봉,,
자연,제주바농오름,,
자연,제주보목마을,,
자연,제주새신오름,,
자연,제주수악,,
자연,제주오백나한,,
자연,제주벵뒤굴,,
자연,제주후곡악,,
체험관광지,제주유수암마을,,
문화/예술/역사,제주하논분화구,,
